full_name,da_dt,e_da_dt,SNR,FAccept,normalized_name,number_only,clean_name
2003 AF23,-0.00246719,0.000179111,13.7747,1,2003 af23,2003,2003 AF23
2001 BB16,0.0153562,0.0011376,13.4988,Rej.,2001 bb16,2001,2001 BB16
139359,-0.0275336,0.00206432,13.3378,Rej.,139359,139359,139359
2000 TU28,-0.00349841,0.000262722,13.316,1,2000 tu28,2000,2000 TU28
1862,-0.000190871,1.44952e-05,13.1678,1,1862,1862,1862
363599,-0.00451215,0.000352435,12.8028,1,363599,363599,363599
326354,-0.0062738,0.000493904,12.7025,1,326354,326354,326354
401885,-0.00240239,0.000190889,12.5853,1,401885,401885,401885
477719,-0.00683813,0.000561995,12.1676,1,477719,477719,477719
2014 RQ17,-0.00164974,0.000136028,12.1279,1,2014 rq17,2014,2014 RQ17
363027,0.00098515,8.16424e-05,12.0667,1,363027,363027,363027
350462,-0.00279628,0.000232327,12.036,1,350462,350462,350462
