full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,GM,spec_B,spec_T,full_name,da_dt,e_da_dt,A2,SNR,FAccept,Tax,deltat
364136 (2006 CJ),20364136,True,True,0.677,0.755,10.2,0.166,1.19,203.0,1.77,16.9,20.19,,,,,,,364136,-0.00367582,0.000225559,-3.06172e-14,16.2965,1,N,16.077
138175 (2000 EE104),20138175,True,True,1.0,0.293,5.23,0.709,1.3,367.0,0.98,84.8,20.49,,,13.324,,,,138175,-0.00446822,0.00027614,-9.63882e-14,16.181,1,L,23.715
(2012 GA5),3602525,True,False,1.14,0.0665,7.3,1.07,1.22,446.0,0.807,322.0,24.19,,,,,,,2012 GA5,-0.00430032,0.000269532,-1.07735e-13,15.9548,Rej.,N,22.185
(2016 GW221),3752012,True,False,0.828,0.267,3.76,0.607,1.05,275.0,1.31,70.5,24.75,,,0.2856,,,,2016 GW221,-0.00735097,0.000463066,-1.46083e-13,15.8746,1,N,6.037
(2007 TF68),3388356,True,False,1.41,0.266,26.2,1.03,1.78,609.0,0.591,271.0,22.62,,,,,,,2007 TF68,-0.00805496,0.000512498,-2.09103e-13,15.7171,1,N,20.066
185851 (2000 DP107),20185851,True,True,1.37,0.377,8.67,0.851,1.88,583.0,0.618,309.0,18.31,0.863,0.137,2.7754,3.224e-08,,,185851,0.000407794,2.64667e-05,9.62841e-15,15.4078,1,M,21.99
(2010 GD35),3515692,True,False,0.764,0.481,7.82,0.397,1.13,244.0,1.47,273.0,24.62,,,,,,,2010 GD35,0.011357,0.000743208,1.79461e-13,15.2811,1,N,11.992
(2018 KR),3824981,True,False,0.885,0.208,1.16,0.701,1.07,304.0,1.18,217.0,26.39,,,,,,,2018 KR,-0.0101639,0.000680621,-2.15224e-13,14.9333,1,N,10.136
450237 (2002 XY38),20450237,True,False,0.911,0.218,2.12,0.713,1.11,318.0,1.13,294.0,23.18,0.096,0.134,,,,,450237,-0.00526751,0.000352803,-1.12765e-13,14.9304,1,N,20.101
85990 (1999 JV6),20085990,True,True,1.01,0.312,5.36,0.695,1.32,370.0,0.972,341.0,20.27,0.451,0.095,6.538,,,,85990,-0.0014786,0.000102112,-3.15698e-14,14.4802,1,N,22.779
(2004 JN1),3182169,True,False,1.09,0.176,1.5,0.895,1.28,413.0,0.872,79.0,23.74,,,,,,,2004 JN1,-0.0164312,0.00115145,-3.90617e-13,14.27,Rej.,N,7.545
(2011 CL50),3557536,True,False,0.882,0.146,0.187,0.754,1.01,303.0,1.19,111.0,27.3,,,,,,,2011 CL50,0.194959,0.013859,4.23044e-12,14.0674,Rej.,N,9.873
(2003 AF23),3146499,True,True,0.874,0.426,23.2,0.502,1.25,299.0,1.21,78.2,21.01,,,19.89,,,,2003 AF23,-0.00246719,0.000179111,-4.44805e-14,13.7747,1,C,18.127
(2001 BB16),3071939,True,False,0.855,0.172,2.03,0.708,1.0,289.0,1.25,303.0,23.2,,,,,,,2001 BB16,0.0153562,0.0011376,3.2436e-13,13.4988,Rej.,N,19.075
139359 (2001 ME1),20139359,True,True,2.63,0.87,5.96,0.343,4.93,1560.0,0.231,231.0,16.52,,,,,,,139359,-0.0275336,0.00206432,-2.64737e-13,13.3378,Rej.,P,21.911
(2000 TU28),3050517,True,True,1.07,0.183,15.6,0.877,1.27,406.0,0.887,134.0,21.05,,,128.5,,,,2000 TU28,-0.00349841,0.000262722,-8.2484e-14,13.316,1,S,21.67
