full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,GM,spec_B,spec_T
477719 (2010 SG15),20477719,True,False,2.08,0.476,0.828,1.09,3.07,1090.0,0.329,12.8,25.26,,,,,,
(2014 RQ17),3687148,True,False,1.77,0.443,3.66,0.985,2.55,858.0,0.42,254.0,22.3,,,0.5216,,,
363027 (1998 ST27),20363027,True,True,0.82,0.53,21.1,0.386,1.25,271.0,1.33,88.4,19.58,0.578,0.059,3.0,,,
350462 (1998 KG3),20350462,True,False,1.16,0.117,5.51,1.02,1.29,456.0,0.79,108.0,22.1,,,13.335,,,
612600 (2003 SM84),20612600,True,False,1.13,0.082,2.8,1.03,1.22,436.0,0.826,279.0,23.02,,,,,,
1566 Icarus (1949 MA),20001566,True,True,1.08,0.827,22.8,0.186,1.97,409.0,0.881,153.0,16.53,1.0,0.51,2.2726,,,
468468 (2004 KH17),20468468,True,True,0.712,0.498,22.1,0.357,1.07,220.0,1.64,112.0,22.01,0.197,0.072,,,,
(2016 TH94),3762462,True,False,0.827,0.373,23.1,0.519,1.14,275.0,1.31,276.0,24.58,,,,,,
399308 (1993 GD),20399308,True,False,1.1,0.238,15.5,0.84,1.36,423.0,0.852,201.0,20.62,,,,,,
613569 (2006 TU7),20613569,True,True,0.851,0.47,2.95,0.451,1.25,287.0,1.25,24.7,21.95,,,,,,
(2007 TF15),3387609,True,False,1.11,0.0444,4.26,1.06,1.16,426.0,0.845,337.0,24.69,,,,,,
437844 (1999 MN),20437844,True,True,0.674,0.665,2.03,0.226,1.12,202.0,1.78,108.0,21.01,,,5.495,,,
613995 (2008 NP3),20613995,True,False,1.0,0.334,1.43,0.669,1.34,368.0,0.978,4.28,22.85,0.193,0.023,,,,
(2016 PF8),3756949,True,True,1.13,0.563,5.67,0.494,1.77,439.0,0.821,329.0,21.43,,,,,,
(2015 EG),3712904,True,False,0.863,0.356,2.5,0.556,1.17,293.0,1.23,232.0,25.61,,,1.29,,,
612094 (1999 NW2),20612094,True,False,1.12,0.109,8.68,0.995,1.24,431.0,0.836,80.0,23.27,,,4.2,,,
