2013 BO27  -5.59297e-14 1.76793e-14   3.16357   ---         ---         ---     -  ---          ---         ---
2018 RV3   -3.18189e-13 1.00816e-13   3.15614   ---         ---         ---     -  ---          ---         ---
2011 CE50  -1.66974e-13 5.33043e-14   3.13247   ---         ---         ---     -  ---          ---         ---
2018 CC14   1.07572e-13 3.44065e-14   3.12652   ---         ---         ---     -  ---          ---         ---
2015 TW178  9.08325e-14 2.92334e-14   3.10715   ---         ---         ---     -  ---          ---         ---
189700     -5.80129e-14 1.86892e-14   3.10409   ---         ---         ---     -  ---          ---         ---
152742      1.79601e-14 5.79048e-15   3.10166   ---         ---         ---     -  ---          ---         ---
1221       -6.11558e-15 1.97597e-15   3.09498   ---         ---         ---     -  ---          ---         ---
162181     -1.78127e-14 5.76052e-15   3.09221   ---         ---         ---     -  ---          ---         ---
249615     -8.99897e-14 2.91441e-14   3.08775   ---         ---         ---     -  ---          ---         ---
513312      1.03173e-13 3.34233e-14   3.08685   ---         ---         ---     -  ---          ---         ---
171819     -6.33826e-14 2.05906e-14   3.07823   ---         ---         ---     -  ---          ---         ---
189011     -4.84481e-14 1.5746e-14    3.07685   ---         ---         ---     -  ---          ---         ---
523605     -5.24296e-14 1.7101e-14    3.06588   ---         ---         ---     -  ---          ---         ---
2006 TD     1.57981e-13 5.18585e-14   3.04639   ---         ---         ---     -  ---          ---         ---
2011 XC     9.21785e-14 3.02866e-14   3.04354   ---         ---         ---     -  ---          ---         ---
2006 GX2   -8.77606e-14 2.89479e-14   3.03167   ---         ---         ---     -  ---          ---         ---
2017 US4   -2.88035e-13 9.52715e-14   3.0233    ---         ---         ---     -  ---          ---         ---
2003 TG2   -8.60522e-14 2.84971e-14   3.01968   ---         ---         ---     -  ---          ---         ---
2005 NE21   5.85214e-14 1.93895e-14   3.0182    ---         ---         ---     -  ---          ---         ---
7336        3.14514e-14 1.04384e-14   3.01305   ---         ---         ---     -  ---          ---         ---
65717       4.33724e-14 9.95155e-15   4.35835   7.74516e-14 1.043e-14   7.42584 1  3.42451      3.26742     2.364
2003 AF23  -4.44805e-14 3.22915e-15  13.7747   -5.48658e-14 3.499e-15  15.6804  1  3.21612      2.96809     2.18118
2011 PU1   -4.4443e-13  6.68991e-14   6.64329  -3.03037e-13 4.996e-14   6.06559 1  2.11353      2.83012     1.69342
2062       -1.40592e-14 1.68847e-15   8.3266   -1.06085e-14 1.147e-15   9.2489  1  2.04369      3.00847     1.69052
1998 KY26  -2.29986e-13 3.96608e-14   5.79882  -1.37766e-13 5.669e-14   2.43016 3  2.32522      1.62674     1.33292
4179       -6.15092e-15 6.98681e-16   8.80362  -7.71667e-15 9.742e-16   7.92104 2  2.24101      1.60722     1.30606
2018 CW2   -4.92261e-13 2.39971e-14  20.5134   -5.5016e-13  3.852e-14  14.2824  1  2.41275      1.50309     1.27577
1685       -4.45066e-15 1.01761e-15   4.37364  -3.02849e-15 4.605e-16   6.57651 1  1.39756      3.08833     1.27326
163000     -3.48793e-14 5.5369e-15    6.29943  -2.46528e-14 6.014e-15   4.09923 1  1.84697      1.70045     1.251
